ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
1019,Buffalo Wild Wings Grill &amp; Bar  #302,3469,Wm Penn  Highway,Pittsburgh,PA,15235,Wilkins,Chain Restaurant with Liquor
1020,Buffalo Wild Wings Grill &amp; Bar #21,480,Home Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor
1021,Buford&#39;s Kitchen,5980,University Boulevard,Coraopolis,PA,15108,Moon,Chain Restaurant with Liquor
1022,Buford&#39;s Kitchen / Uptown,1014,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor
1023,Bulgarian Macedonian Cultural Center,449,W 8th Ave,Homestead,PA,15120,West Homestead,Social Club-Bar Only
1024,Bull Dawgs / Ohio City Pasta,100,Commons  Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor
1025,Bull Dawgs Pgh Mobile,100,Commons Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
1026,Bulldog Pub &amp; Grill,1818,Morningside Avenue,Pittsburgh,PA,15206,Pittsburgh-110,Restaurant with Liquor
1027,Buon Giorno Cafe,6,Smithfield  Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
1028,Buon Giorno Cafe,20,Stanwix St,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
1029,Burchfield Elementary,1500,Burchfield Rd,Allison Park,PA,15101,Shaler,School Full Service Kitchen
1030,Burgatory,932,Freeport Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant with Liquor
1031,Burgatory,299,Bridge Street,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor
1032,Burgatory,300,McHolme Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor
1033,Burgatory / McCandless ,700,Providence  Boulevard,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor
1034,Burgatory / North Shore,342,North Shore  Drive,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
1035,Burger 21,4860,McKnight  Road,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
1036,Burger King # 17292,920,Ohio River Blvd,Pittsburgh,PA,15202,Avalon,Chain Restaurant without Liquor
1037,Burger King #1085,4490,Broadway  Boulevard,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
1038,Burger King #11346,5940,University Blvd,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
1039,Burger King #11672,415,Home Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant without Liquor
1040,Burger King #12195,121,Walmart Drive,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor
1041,Burger King #12789,5240,Library Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor
1042,Burger King #2249,1901,Golden Mile Hwy / Route  286,Pittsburgh,PA,15239,Plum,Chain Restaurant without Liquor
1043,Burger King #2546,2799,Freeport Road,Pittsburgh,PA,15238,Harmar,Chain Restaurant without Liquor
1044,Burger King #2679,10955,Perry  Highway,Wexford,PA,15090,Pine,Chain Restaurant without Liquor
1045,Burger King #3030,1901,Lincoln  Highway,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor
1046,Burger King #3855,2900,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Chain Restaurant without Liquor
1047,Burger King #4192,1820,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Chain Restaurant without Liquor
1048,Burger King #4350,3220,Library  Road,Pittsburgh,PA,15234,Castle Shannon,Chain Restaurant without Liquor
1049,Burger King #463,4885,Wm Flynn Hwy,Allison Park,PA,15101,Hampton,Chain Restaurant without Liquor
1050,Burger King #668,909,Butler Street,Pittsburgh,PA,15223,Shaler,Chain Restaurant without Liquor
1051,Burger King #670,1002,Emeryville Drive,Mars,PA,16046,Marshall,Chain Restaurant without Liquor
1052,Burger King #671,105,Ohio River  Boulevard,Sewickley,PA,15143,Edgeworth,Chain Restaurant without Liquor
1053,Burger&#39;z on 8,6044,Wm Flynn Highway,Bakerstown,PA,15007,Richland,Restaurant with Liquor
1054,Burgh Bites Truck (XGD-2288),1709,Railroad  Street,Carnegie,PA,15106,Heidelberg,Mobile
1055,Burgh Bites Truck (ZRF-4459),1709,Railroad  Street,Carnegie,PA,15106,Heidelberg,Mobile
1056,Burgh&#39;s Pizza &amp; Wings,533,Washington  Avenue,Bridgeville,PA,15017,Bridgeville,Restaurant with Liquor
1057,Bus Stop Munchies,517,N Homewood  Avenue,Pittsburgh,PA,15208,Pittsburgh-113,Mobile
1058,Busters Pizza &amp; Cream of White Oak,2650,Lincoln  Way,Mc Keesport,PA,15131,White Oak,Restaurant without Liquor
1059,Busy Beaver ,4713,Plummer Street,Pittsburgh,PA,15201,Pittsburgh-109,Packaged Food Only
1060,Busy Beaver #50,2001,Lincoln Way,Mc Keesport,PA,15131,White Oak,Chain Packaged Food Only
