"742","305 Church Road, Bethel Park, PA, 15102","Match","Exact","305 CHURCH RD, BETHEL PARK, PA, 15102","-80.044914,40.336105","51657131","L"
"741","2407 South Park Road, Bethel Park, PA, 15102","Match","Exact","2407 S PARK RD, BETHEL PARK, PA, 15102","-80.02228,40.33015","51657856","L"
"349","1711 Penn Avenue, Pittsburgh, PA, 15222","Match","Exact","1711 PENN AVE, PITTSBURGH, PA, 15222","-79.9859,40.44983","51628463","L"
"930","118 Park Drive, Pittsburgh, PA, 15227","No_Match"
"931","3601 Brownsville Rd, Pittsburgh, PA, 15227","Match","Exact","3601 BROWNSVILLE RD, PITTSBURGH, PA, 15227","-79.97553,40.374226","51639668","L"
"932","3433 Brownsville  Road, Pittsburgh, PA, 15227","Match","Exact","3433 BROWNSVILLE RD, PITTSBURGH, PA, 15227","-79.97554,40.37505","51639659","L"
"341","2312 Main Street, Pittsburgh, PA, 15215","Match","Exact","2312 MAIN ST, PITTSBURGH, PA, 15215","-79.914055,40.493343","623352804","L"
"933","3315 Liberty Ave, Pittsburgh, PA, 15201","Match","Exact","3315 LIBERTY AVE, PITTSBURGH, PA, 15201","-79.96738,40.46149","51642342","L"
"342","1965 Ferguson Road, Allison Park, PA, 15101","No_Match"
"343","300 JHF Drive, Pittsburgh, PA, 15217","No_Match"
"934","315 Mt Lebanon Boulevard, Pittsburgh, PA, 15234","Match","Non_Exact","315 MOUNT LEBANON BLVD, PITTSBURGH, PA, 15228","-80.035515,40.36901","51632990","L"
"344","7221 Church Street, Pittsburgh, PA, 15202","Match","Non_Exact","7221 CHURCH ST, PITTSBURGH, PA, 15218","-79.89305,40.420895","51654171","L"
"935","801 E Carson St, Pittsburgh, PA, 15203","Match","Exact","801 E CARSON ST, PITTSBURGH, PA, 15203","-79.99092,40.428658","51635473","L"
"345","2202 Freeport Road, Natrona Heights, PA, 15065","Match","Exact","2202 FREEPORT RD, NATRONA HTS, PA, 15065","-79.71944,40.628464","627072180","L"
"936","1709 Railroad  Street, Carnegie, PA, 15106","Match","Non_Exact","1709 W RAILROAD ST, CARNEGIE, PA, 15106","-80.08804,40.391693","51618020","L"
"346","5203 Carnegie St, Pittsburgh, PA, 15201","Match","Exact","5203 CARNEGIE ST, PITTSBURGH, PA, 15201","-79.95353,40.47999","51642053","L"
"937","370 Commercial Street, Bridgeville, PA, 15017","Match","Exact","370 COMMERCIAL ST, BRIDGEVILLE, PA, 15017","-80.109634,40.359447","51934763","L"
"347","599 Dorseyville Road, Pittsburgh, PA, 15238","Match","Exact","599 DORSEYVILLE RD, PITTSBURGH, PA, 15238","-79.91266,40.53673","51645326","L"
